Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
0,1,32,3,1,2,796,78,89,52,42.4,25.67,78.0,640,124.37,0,0,6,1,1,0,32,2,10,2023,2021,25.03013699,23.03013699
1,1,3,2,0,0,43,73,17,49,29.5,14.33,36.5,52,82.69,0,0,0,0,0,0,3,1,0,2024,2024,28.59452055,28.59452055
0,0,15,23,4,1,238,385,46,49,22.7,21.63,17.5,188,126.59,0,0,0,0,2,5,16,13,1,2002,2007,21.550684930000003,26.550684930000003
1,1,2,11,0,0,14,218,13,52,25.0,7.0,19.81,15,93.33,0,0,0,1,0,2,3,7,7,2005,2005,26.45205479,26.45205479
1,1,114,100,23,9,3264,2907,101,152,39.54,35.86,31.94,2231,146.3,1,2,24,18,7,9,124,57,8,2014,2011,23.890410959999997,20.890410959999997
0,0,6,2,3,0,32,45,22,37,11.64,10.66,22.5,20,160.0,0,0,0,0,1,0,17,2,8,2010,2012,28.41917808,30.41917808
0,1,2,40,0,6,11,888,11,68,49.6,5.5,26.11,16,68.75,0,0,0,3,1,2,2,20,5,2019,2019,25.85479452,25.85479452
0,0,21,33,1,2,457,1269,62,201,33.21,22.85,40.93,358,127.65,0,3,3,6,2,4,22,18,7,2008,2008,23.980821919999997,23.980821919999997
0,0,30,59,7,10,474,1780,66,133,24.09,20.6,36.32,339,139.82,0,5,2,6,3,4,36,33,7,2002,2005,24.00273973,27.00273973
0,0,63,22,21,1,944,709,48,137,28.2,22.47,33.76,611,154.5,0,2,0,4,6,2,79,12,7,2014,2012,23.865753419999997,21.865753419999997
1,1,30,261,5,21,893,12027,90,254,47.6,35.72,50.11,707,126.3,0,32,5,63,2,12,32,143,8,2012,2012,21.58082192,21.58082192
0,0,31,46,8,7,463,808,60,122,23.96,20.13,20.71,391,118.41,0,1,2,2,2,6,38,31,7,2001,2006,20.7260274,25.7260274
1,1,64,10,1,0,1522,187,78,72,39.91,24.15,18.7,1106,137.61,0,0,8,1,7,1,64,5,8,2019,2014,29.02191781,24.02191781
1,1,12,28,2,0,125,827,30,94,34.3,12.5,29.53,118,105.93,0,0,0,6,2,0,13,15,8,2019,2009,33.36986301,23.369863010000003
