Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
0,1,81,6,6,0,3492,192,210,94,46.56,22.81,32.0,3737,93.44,11,0,16,2,6,0,82,3,9,2017,2018,27.30136986,28.30136986
0,1,36,30,12,4,966,1011,114,168,40.25,17.63,38.88,1297,74.47,1,5,6,2,3,3,38,19,9,2007,2009,21.80821918,23.80821918
0,1,143,104,11,5,5238,4154,150,206,39.68,27.41,41.95,6144,85.25,11,9,34,22,11,7,147,58,8,2003,2004,21.79178082,22.79178082
1,0,14,2,3,0,197,46,37,39,17.9,16.0,23.0,381,51.7,0,0,0,0,1,0,15,1,3,2010,2011,29.40273973,30.40273973
0,0,65,10,26,3,790,186,71,79,20.25,13.75,26.57,1005,78.6,0,0,2,1,9,0,123,7,7,1996,1996,25.47671233,25.47671233
1,1,99,4,12,1,2072,45,113,33,23.81,21.13,15.0,2880,71.94,1,0,12,0,6,2,105,2,1,2007,2018,21.47945205,32.47945205
1,0,24,12,3,1,735,366,72,87,35.0,32.89,33.27,754,97.48,0,0,4,3,0,1,30,7,5,2022,2020,25.64657534,23.64657534
0,0,2,6,1,0,27,135,18,37,27.0,11.1,22.5,29,93.1,0,0,0,0,0,0,2,3,6,2021,2019,29.65205479,27.65205479
1,0,86,4,28,0,1341,98,91,39,23.12,19.8,24.5,1655,81.02,0,0,6,0,6,0,124,2,1,2010,2019,18.019178080000003,27.019178080000003
1,1,17,7,1,1,236,71,45,15,14.75,10.75,11.83,311,75.88,0,0,0,0,3,0,25,4,5,2004,2008,27.67945205,31.67945205
1,0,127,14,17,1,3895,339,201,104,35.4,29.88,26.07,3069,126.91,4,1,23,0,10,0,138,7,7,2012,2013,23.79178082,24.79178082
1,1,50,8,7,0,1723,104,174,35,40.06,24.0,13.0,1496,115.17,4,0,6,0,2,0,54,4,6,2018,2019,27.0,28.0
1,1,208,76,4,2,5658,2223,178,158,27.73,25.96,30.04,7728,73.21,5,5,34,8,15,10,209,38,3,2001,2001,17.97260274,17.97260274
1,1,15,24,1,1,407,1378,80,186,29.07,30.73,59.91,429,94.87,0,5,3,8,1,1,15,15,10,2023,2022,24.43287671,23.43287671
0,1,4,29,0,1,15,755,11,171,3.75,21.57,26.96,56,26.78,0,1,0,1,0,2,4,16,5,2013,2013,24.254794519999997,24.254794519999997
0,1,106,85,14,6,3194,2088,139,155,34.71,16.16,26.43,4419,72.27,4,3,21,10,7,11,127,44,2,2010,2011,20.97260274,21.97260274
1,1,56,32,11,2,2360,905,134,98,52.44,34.38,30.16,2706,87.21,6,0,14,6,2,3,62,18,6,2019,2019,30.473972600000003,30.473972600000003
1,1,240,154,16,7,8094,6167,175,228,36.13,18.18,41.95,9721,83.26,21,14,37,26,22,11,248,90,6,1996,1996,22.43013699,22.43013699
1,0,61,18,9,1,1769,532,92,108,34.01,26.71,31.29,1603,110.35,0,1,11,4,4,2,86,11,8,2016,2017,22.8,23.8
1,1,62,19,9,2,1454,652,101,160,27.43,4.0,38.35,1990,73.06,1,2,12,2,3,1,66,13,5,2003,2000,24.45205479,21.45205479
0,1,73,87,15,7,2056,2973,124,200,35.44,12.5,37.16,2536,81.07,1,9,15,12,6,6,75,56,5,2015,2016,23.70410959,24.70410959
1,1,41,12,6,0,1747,374,140,85,49.91,22.6,31.16,2080,83.99,5,0,11,4,3,2,45,6,1,2020,2023,20.64657534,23.64657534
0,1,44,27,5,1,1749,847,130,147,44.84,19.09,32.57,2046,85.48,2,2,14,3,1,1,45,16,9,2013,2017,24.553424659999997,28.553424659999997
0,1,78,16,13,5,2225,485,97,200,34.23,24.0,44.09,3243,68.6,0,1,21,2,5,0,78,8,4,2013,2018,18.73424658,23.73424658
1,1,19,4,1,0,450,172,110,67,25.0,15.26,43.0,695,64.74,1,0,2,1,0,0,19,2,3,2022,2023,29.96986301,30.96986301
1,1,65,93,10,6,2819,3835,137,226,51.25,23.0,44.08,3658,77.06,4,9,22,19,5,8,68,52,10,2009,2009,28.26849315,28.26849315
0,0,87,40,21,5,1544,1105,83,102,23.39,24.57,31.57,1941,79.54,0,1,5,6,7,5,120,29,8,2004,2003,19.75616438,18.75616438
1,1,157,205,14,24,5416,7727,141,235,37.87,26.85,42.69,7019,77.16,4,22,35,46,6,14,161,118,10,2004,2004,22.29863014,22.29863014
1,1,33,14,3,0,1440,541,162,114,48.0,29.07,38.64,1790,80.44,5,1,7,4,2,2,33,7,4,2019,2019,17.63013699,17.63013699
1,1,24,6,8,1,614,61,109,27,38.37,24.34,12.2,576,106.59,1,0,1,0,0,1,28,4,9,2015,2016,24.904109589999997,25.904109589999997
1,1,16,6,2,1,307,110,57,65,21.92,20.0,22.0,440,69.77,0,0,3,1,2,0,16,3,4,2017,2019,19.58630137,21.58630137
0,1,71,46,6,4,3138,1568,151,157,48.27,10.5,37.33,3801,82.55,9,3,20,9,3,4,72,24,9,2017,2018,21.60273973,22.60273973
0,1,58,77,2,2,1719,2400,107,128,30.69,10.85,32.0,2489,69.06,1,3,13,14,3,3,58,40,9,2001,2001,19.19178082,19.19178082
1,1,79,13,2,0,1895,427,160,131,24.61,21.73,32.84,2339,81.01,2,2,9,1,10,3,79,8,9,1999,1999,17.619178079999998,17.619178079999998
0,1,78,76,2,2,2434,1797,144,150,32.02,9.15,24.28,3423,71.1,4,3,16,4,2,4,78,39,0,2008,2008,21.487671229999997,21.487671229999997
0,1,24,3,2,2,933,78,210,52,42.4,25.67,78.0,913,102.19,1,0,7,1,1,0,27,2,8,2021,2023,23.03013699,25.03013699
1,1,12,2,0,0,354,73,78,49,29.5,14.33,36.5,527,67.17,0,0,2,0,2,0,12,1,3,2023,2024,27.59452055,28.59452055
0,0,37,23,6,1,704,385,72,49,22.7,21.63,17.5,1115,63.13,0,0,4,0,1,5,40,13,2,2002,2002,21.550684930000003,21.550684930000003
1,1,10,11,0,0,250,218,161,52,25.0,7.0,19.81,313,79.87,1,0,1,1,2,2,10,7,5,2005,2005,26.45205479,26.45205479
1,1,154,100,27,9,5022,2907,162,152,39.54,35.86,31.94,4288,117.11,11,2,26,18,14,9,181,57,10,2012,2014,21.890410959999997,23.890410959999997
0,0,25,2,11,0,163,45,30,37,11.64,10.66,22.5,242,67.35,0,0,0,0,3,0,45,2,10,2010,2010,28.41917808,28.41917808
0,1,5,40,0,6,248,888,179,68,49.6,5.5,26.11,214,115.88,1,0,0,3,0,2,6,20,11,2019,2019,25.85479452,25.85479452
0,0,42,33,1,2,1362,1269,107,201,33.21,22.85,40.93,1429,95.31,3,3,6,6,5,4,48,18,5,2008,2008,23.980821919999997,23.980821919999997
0,0,116,59,15,10,2434,1780,101,133,24.09,20.6,36.32,2810,86.61,1,5,13,6,8,4,160,33,5,2001,2002,23.00273973,24.00273973
0,0,65,22,12,1,1495,709,97,137,28.2,22.47,33.76,1496,99.93,0,2,7,4,3,2,76,12,5,2013,2014,22.865753419999997,23.865753419999997
1,1,160,261,23,21,6522,12027,133,254,47.6,35.72,50.11,7516,86.77,16,32,39,63,9,12,171,143,10,2013,2012,22.58082192,21.58082192
0,0,80,46,27,7,1270,808,98,122,23.96,20.13,20.71,1651,76.92,0,1,4,2,5,6,110,31,5,2001,2001,20.7260274,20.7260274
1,1,110,10,3,0,4271,187,180,72,39.91,24.15,18.7,4047,105.53,12,0,21,1,11,1,116,5,10,2015,2019,25.02191781,29.02191781
1,1,13,28,0,0,446,827,87,94,34.3,12.5,29.53,629,70.9,0,0,4,6,0,0,16,15,10,2009,2019,23.369863010000003,33.36986301
1,1,98,178,8,12,3868,6042,141,167,42.97,29.83,36.39,3758,102.92,11,12,17,26,9,17,107,100,10,2011,2012,21.84109589,22.84109589
1,1,37,35,1,1,1046,772,139,92,29.05,11.2,22.7,1572,66.53,1,0,7,4,3,4,41,19,5,2005,2006,24.19452055,25.19452055
1,1,22,22,0,0,616,548,102,83,28.0,27.23,24.9,703,87.62,1,0,3,3,1,2,25,13,10,2015,2016,24.37534247,25.37534247
1,0,114,119,24,18,2237,2952,99,202,24.85,16.36,29.22,2479,90.23,0,3,12,13,11,10,138,67,11,2013,2014,21.73150685,22.73150685
0,0,179,80,40,10,5117,2133,150,166,36.81,38.68,18.925,6052,84.55,4,6,27,8,7,10,199,46,6,2004,2008,20.290410960000003,24.290410960000003
1,0,52,2,22,0,1032,45,116,23,34.4,14.45,22.5,990,104.24,1,0,4,0,4,0,69,1,7,2013,2013,23.24931507,23.24931507
1,1,6,12,3,3,41,226,13,48,13.66,12.33,25.11,71,57.74,0,0,0,0,0,1,11,7,10,2001,2001,21.28767123,21.28767123
