,Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,Current Status,SpanStart_ODI,SpanEnd_ODI,SpanStart_Test,SpanEnd_Test,SpanStart_T20,SpanEnd_T20
381,Naved-ul-Hasan,2/28/1978,46.41643836,Right hand Bat,Right arm Medium fast,Bowler,51,2,15,18,1,3,524,18,239,33,17,42,15.87,18.0,19.91,620,16,0,84.51,112.5,0,0,0,0,0,0,4,0,2,72,4,16,3466,0,1565,3221,101,1044,110,5,18,6/27,3/19,3/30,29.28,20.2,58.0,5.57,7.12,4.0,31.5,17.0,86.9,6,0,0,1,0,0,0,0,0,74,4,9,PAK,Retired,2003,2010,2004,2007,2006,2010
382,Nazimuddin,10/1/1985,38.82739726,Right hand Bat,Right arm Medium,Batter,11,7,6,0,0,0,147,178,125,47,81,78,13.36,25.42,20.83,237,158,0,62.02,112.65,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,11,7,3,BAN,Retired,2008,2012,2011,2012,2007,2008
383,Nazmul Hossain,10/5/1987,36.81643836,Right hand Bat,Right arm Medium fast,Bowler,21,2,4,13,2,2,35,3,16,6,3,8,4.37,0.0,8.0,128,15,0,27.34,20.0,0,0,0,0,0,0,4,0,2,37,4,3,1649,0,329,1386,67,194,44,1,5,4/40,1/15,2/61,31.5,67.0,38.8,5.04,9.57,3.53,37.4,42.0,65.8,1,0,0,0,0,0,0,0,0,38,4,2,BAN,Retired,2004,2012,2004,2011,2009,2012
384,Nazmul Islam,3/21/1992,32.35616438,Left hand Bat,Slow Left arm Orthodox,Bowler,1,4,2,0,3,0,7,18,4,7,7,4,7.0,18.0,2.0,13,17,0,53.84,105.88,0,0,0,0,0,0,0,0,1,5,12,2,264,0,174,224,265,76,5,8,4,2/38,3/28,2/27,44.8,33.12,19.0,5.09,6.88,2.62,52.8,28.8,43.5,0,0,0,0,0,0,0,0,0,5,13,1,BAN,Retired,2018,2018,2018,2018,2018,2018
385,Noor Ali Zadran,7/10/1988,36.05205479,Right hand Bat,Right arm Medium fast,Opening Batter,50,23,4,1,1,0,1216,597,117,114,63,47,24.81,27.13,29.25,1923,586,0,63.23,101.87,1,0,0,7,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,51,23,2,AFG,Currently Playing,2009,2019,2024,2024,2010,2023
386,Nurul Hasan,11/21/1993,30.68767123,Right hand Bat,Never Bowled,Wicketkeeper Batter,5,41,21,3,14,1,165,445,440,45,42,64,82.5,16.48,22.0,174,376,0,94.82,118.35,0,0,0,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7,46,11,BAN,Retired,2016,2023,2017,2023,2016,2022
387,OA Shah,10/22/1978,45.76986301,Right hand Bat,Right arm Offbreak,Batter,66,15,10,6,1,0,1834,347,269,107,55,88,30.56,24.78,26.9,2331,284,0,78.67,122.18,1,0,0,12,1,2,6,0,0,10,0,2,193,0,30,184,0,31,7,0,0,3/15,-,-,26.28,0.0,0.0,5.72,0.0,6.2,27.5,0.0,0.0,0,0,0,0,0,0,0,0,0,71,17,6,ENG,Retired,2001,2009,2006,2009,2007,2009
388,OP Stone,10/9/1993,30.80547945,Right hand Bat,Right arm Fast,Bowler,4,1,6,2,0,0,14,0,55,9,0,20,7.0,0.0,9.16,17,1,0,82.35,0.0,0,0,0,0,0,0,0,1,2,7,1,5,318,0,358,317,36,194,8,0,10,4/85,-,3/29,39.62,0.0,19.4,5.98,9.0,3.25,39.7,0.0,35.8,1,0,0,0,0,0,0,0,0,8,1,3,ENG,Retired,2018,2023,2019,2021,2022,2022
389,P Jayawickrama,9/30/1998,25.83013699,Right hand Bat,Slow Left arm Orthodox,Bowler,3,1,6,2,1,5,7,0,12,4,0,8,7.0,0.0,12.0,12,5,0,58.33,0.0,0,0,0,0,0,0,0,0,1,5,5,10,198,0,1320,177,118,642,5,2,25,3/59,1/29,6/92,35.4,59.0,25.68,5.36,8.96,2.91,39.6,39.5,52.8,0,0,0,0,0,2,0,0,1,5,5,5,SL,Retired,2021,2021,2021,2022,2021,2022
390,P Kumar,10/2/1986,37.82465753,Right hand Bat,Right arm Medium,Bowler,33,3,10,12,0,0,292,7,149,54,6,40,13.9,2.33,14.9,331,16,0,88.21,43.75,0,0,0,1,0,0,2,1,2,67,10,11,3242,0,1611,2774,193,697,77,8,27,4/31,2/14,5/106,36.02,24.12,25.81,5.13,7.42,2.59,42.1,19.5,59.6,3,0,0,0,0,1,0,0,0,68,10,6,IND,Retired,2007,2012,2011,2011,2008,2012
