,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
50,D Maisuria (BOT),https://www.espncricinfo.com/ci/content/player/637478.html,2019-2023,37,35,126,4,672,71,5/18,9.46,5.33,10.6,4,2,"August 06, 1998, India",25y 358d,Right hand Bat,Legbreak Googly,
51,Mohammad Amir (PAK),https://www.espncricinfo.com/ci/content/player/290948.html,2009-2024,62,61,220.1,6,1558,71,4/13,21.94,7.07,18.6,1,0,"April 13, 1992, Gujjar Khan, Punjab",32y 107d,Left hand Bat,Left arm Fast medium,Bowler
52,CW Perchard (JER),https://www.espncricinfo.com/ci/content/player/414969.html,2019-2024,47,45,161,1,995,71,5/17,14.01,6.18,13.6,2,1,"July 18, 1992, Jersey",32y 11d,Right hand Bat,Right arm Medium,
53,K Rabada (SA),https://www.espncricinfo.com/ci/content/player/550215.html,2014-2024,65,65,232.1,3,1928,71,3/18,27.15,8.3,19.6,0,0,"May 25, 1995, Johannesburg",29y 65d,Left hand Bat,Right arm Fast,Bowler
54,Kuldeep Yadav (IND),https://www.espncricinfo.com/ci/content/player/559235.html,2017-2024,40,39,143.2,2,971,69,5/17,14.07,6.77,12.4,1,2,"December 14, 1994, Kanpur, Uttar Pradesh",29y 228d,Left hand Bat,Left arm Wrist spin,Bowler
55,Vraj Patel (KENYA),https://www.espncricinfo.com/ci/content/player/1178080.html,2021-2024,48,47,172,6,919,69,5/12,13.31,5.34,14.9,1,1,21-Mar-02,22y 130d,Left hand Bat,Slow Left arm Orthodox,Bowler
56,DM Nakrani (UGA),https://www.espncricinfo.com/ci/content/player/731523.html,2019-2024,60,55,191,8,1097,68,6/7,16.13,5.74,16.8,1,2,"September 21, 1991, Kutch, Saurashtra",32y 312d,Left hand Bat,Left arm Medium,Allrounder
57,BM Scholtz (NAM),https://www.espncricinfo.com/ci/content/player/330223.html,2019-2024,62,60,205.4,0,1251,67,4/12,18.67,6.08,18.4,2,0,"October 03, 1990, Keetmanshoop, Namibia",33y 300d,Right hand Bat,Slow Left arm Orthodox,Bowler
58,PJ Cummins (AUS),https://www.espncricinfo.com/ci/content/player/489889.html,2011-2024,57,57,209,4,1556,66,3/15,23.57,7.44,19,0,0,"May 08, 1993, Westmead, Sydney",31y 82d,Right hand Bat,Right arm Fast,Bowler
59,JO Holder (WI),https://www.espncricinfo.com/ci/content/player/391485.html,2014-2024,63,60,222.1,2,1906,66,5/27,28.87,8.57,20.1,2,1,"November 05, 1991, Barbados",32y 267d,Right hand Bat,Right arm Medium fast,Bowling Allrounder
