Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
B Evans,1997-03-24,Right hand Bat,Pacer,Allrounder,13,6,2,3,2,0,121,41,7,33,19,7,12.1,10.25,3.5,150,40,80.66,102.5,0,0,0,0,0,0,1,0,1,14,8,2,524,216,521,178,115,13,6,2,0.09259259259259259,0.08,0.04878048780487805,40.07,29.66,57.5,5.96,7.52,3.19,40.3,23.6,108.0,0,0,1,0,0,0,15,8,1,ZIM,2022,2023,2022,Right Hand,25.34794521,26.34794521,25.34794521
B Kumar,1990-02-05,Right hand Bat,Pacer,Bowler,55,21,29,16,13,4,552,67,552,53,16,63,14.15,8.37,22.08,747,94,73.89,71.27,0,0,0,1,0,3,8,2,4,120,86,37,5847,3348,4951,2079,1644,141,90,63,0.11904761904761904,1.25,0.07317073170731707,35.11,23.1,26.09,5.08,6.96,2.94,41.4,19.9,53.1,4,3,1,2,4,0,121,87,21,IND,2012,2013,2012,Right Hand,22.47945205,23.47945205,22.47945205
B Lee,1976-11-08,Right hand Bat,Pacer,Bowler,110,12,90,44,6,18,1176,101,1451,59,43,64,17.81,16.83,20.15,1407,71,83.58,142.25,0,0,0,3,0,5,16,2,14,217,25,150,11185,16531,8877,714,9554,380,28,310,0.22727272727272727,0.13043478260869565,0.16666666666666666,23.36,25.5,30.81,4.76,7.86,3.46,29.4,19.4,53.3,14,0,9,0,10,0,221,25,76,AUS,2000,1999,2005,Right Hand,23.723287669999998,22.723287669999998,28.723287669999998
B Mavuta,1997-03-04,Right hand Bat,Spinner,Allrounder,8,9,7,2,5,0,88,65,82,28,28,56,14.66,16.25,11.71,88,51,100.0,127.45,0,0,0,0,0,1,1,1,2,10,11,7,396,762,349,257,480,10,5,12,0.06666666666666667,0.058823529411764705,0.03571428571428571,34.9,51.4,40.0,5.28,8.03,3.77,39.6,38.4,63.5,0,0,0,0,1,0,12,11,4,ZIM,2018,2018,2018,Right Hand,21.40273973,21.40273973,21.40273973
B Muzarabani,1996-10-02,Right hand Bat,Pacer,Bowler,36,22,13,13,13,4,122,42,106,17,9,30,5.3,4.66,11.77,253,58,48.22,72.41,0,0,0,0,0,0,12,3,2,47,55,11,2312,1195,1962,1465,578,60,66,24,0.10204081632653061,0.21428571428571427,0.08333333333333333,32.7,22.19,24.08,5.09,7.22,2.9,38.5,18.4,49.7,3,0,1,0,0,0,48,56,7,ZIM,2018,2017,2018,Right Hand,21.82465753,20.82465753,21.82465753
B White,1998-08-29,Right hand Bat,Spinner,Bowler,0,9,6,0,8,4,0,22,1,0,7,1,0.0,22.0,0.5,0,45,0.0,48.88,0,0,0,0,0,0,0,0,1,2,30,4,108,459,118,774,436,1,32,4,0.01694915254237288,0.2,0.028169014084507043,118.0,24.18,109.0,6.55,7.81,5.69,108.0,18.5,114.7,0,1,0,0,0,0,2,31,3,IRE,2023,2023,2021,Right Hand,24.91780822,24.91780822,22.91780822
BA Parchment,1982-06-24,Right hand Bat,Spinner,Bowler,7,1,4,0,0,0,122,10,55,48,10,20,17.42,10.0,13.75,217,6,56.22,166.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,1,2,WI,2007,2008,2007,Right Hand,25.095890410000003,26.095890410000003,25.095890410000003
BA Stokes,1991-06-04,Left hand Bat,Pacer,Allrounder,99,36,190,15,9,8,3463,585,6508,182,52,258,41.22,21.66,35.75,3619,457,95.68,128.0,5,0,13,24,1,34,7,1,15,88,36,152,3110,11795,3137,856,6506,74,26,203,0.08196721311475409,0.11538461538461539,0.2727272727272727,42.39,32.92,32.04,6.05,8.39,3.3,42.0,23.5,58.1,1,0,1,0,4,0,114,43,105,ENG,2011,2013,2011,Right Hand,20.150684929999997,22.150684929999997,20.150684929999997
BAW Mendis,1985-03-11,Right hand Bat,Spinner,Bowler,42,8,19,19,5,6,188,8,213,21,4,78,8.17,2.66,16.38,263,17,71.48,47.05,0,0,0,0,0,1,10,0,2,84,39,31,4154,4730,3324,952,2434,152,66,70,0.46153846153846156,0.75,0.06060606060606061,21.86,14.42,34.77,4.8,6.45,3.08,27.3,13.4,67.5,7,3,3,2,4,1,87,39,19,SL,2008,2008,2008,Right Hand,23.383561640000003,23.383561640000003,23.383561640000003
BE Hendricks,1990-06-08,Left hand Bat,Pacer,Bowler,4,5,2,1,2,1,24,18,9,18,12,5,8.0,6.0,9.0,45,23,53.33,78.26,0,0,0,0,0,0,0,1,0,8,19,2,386,231,346,627,175,10,25,6,0.05084745762711865,0.2857142857142857,0.078125,34.6,25.08,29.16,5.37,9.19,4.54,38.6,16.3,38.5,0,1,0,0,1,0,10,19,1,SA,2019,2020,2014,Left Hand,29.13972603,30.13972603,24.13972603
BJ McCarthy,1992-09-13,Right hand Bat,Pacer,Bowler,30,35,2,7,13,0,220,284,6,41,51,5,9.56,12.9,3.0,355,243,61.97,116.87,0,0,0,0,1,0,4,7,0,45,56,4,2242,363,2166,1703,151,72,56,8,0.10869565217391304,0.13333333333333333,0.07142857142857142,30.08,30.41,18.87,5.79,8.47,2.49,31.1,21.5,45.3,2,2,1,0,0,0,45,56,2,IRE,2016,2024,2017,Right Hand,23.87671233,31.87671233,24.87671233
BM Tickner,1993-10-13,Right hand Bat,Pacer,Bowler,7,4,3,5,2,2,16,11,13,6,5,8,8.0,5.5,13.0,28,23,57.14,47.82,0,0,0,0,0,0,0,0,0,13,18,6,623,635,679,536,435,16,19,12,0.08,0.14814814814814814,0.04,42.43,28.21,36.25,6.53,9.43,4.11,38.9,17.9,52.9,1,1,0,0,0,0,13,18,3,NZ,2022,2023,2019,Right Hand,28.79452055,29.79452055,25.79452055
BV Vitori,1990-02-22,Left hand Bat,Pacer,Bowler,14,2,7,3,2,2,86,8,52,20,7,19,7.81,0.0,10.4,90,7,95.55,114.28,0,0,0,0,0,0,5,0,2,24,11,7,1193,833,1149,323,464,32,4,12,0.25,0.041666666666666664,0.08196721311475409,35.9,80.75,38.66,5.77,8.14,3.34,37.2,59.5,69.4,0,0,2,0,1,0,24,11,4,ZIM,2011,2011,2012,Left Hand,21.432876710000002,21.432876710000002,22.432876710000002
BW Hilfenhaus,1983-03-15,Right hand Bat,Pacer,Bowler,11,3,38,8,1,12,29,2,355,16,2,56,9.66,1.0,13.65,69,10,42.02,20.0,0,0,0,0,0,1,0,1,8,25,7,49,1216,6078,1075,161,2822,29,9,99,0.15151515151515152,0.13333333333333333,0.06666666666666667,37.06,17.88,28.5,5.3,6.19,2.78,41.9,17.3,61.3,0,0,1,0,2,0,25,7,27,AUS,2007,2009,2007,Right Hand,24.372602739999998,26.372602739999998,24.372602739999998
Bilawal Bhatti,1991-09-17,Right hand Bat,Pacer,Bowler,7,4,3,1,2,1,89,23,70,39,13,32,14.83,11.5,35.0,75,14,118.66,164.28,0,0,0,0,0,0,1,1,0,10,9,3,409,438,439,255,291,6,5,6,0.08108108108108109,0.05555555555555555,0.046153846153846156,73.16,51.0,48.5,6.44,9.8,3.98,68.1,31.2,73.0,0,0,0,0,0,0,10,9,2,PAK,2013,2013,2013,Right Hand,21.865753419999997,21.865753419999997,21.865753419999997
