Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
YM Nkanya (TAN),https://www.espncricinfo.com/ci/content/player/1178055.html,2022-2024,51,13,7,10,4*,1.66,33,30.3,0,0,6,0,0,22-Jun-03,21y 37d,Right hand Bat,Slow Left arm Orthodox,,
M Ntini (SA),https://www.espncricinfo.com/ci/content/player/46592.html,2005-2011,10,4,2,10,5,5,11,90.9,0,0,1,2,0,"July 06, 1977, Mdingi, nr King William's Town, Cape Province",47y 23d,Right hand Bat,Right arm Fast,Bowler,
PP Ojha (IND),https://www.espncricinfo.com/ci/content/player/32130.html,2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1,"September 05, 1986, Bhubaneswar, Orissa",37y 328d,Left hand Bat,Slow Left arm Orthodox,Bowler,
BA Parchment (WI),https://www.espncricinfo.com/ci/content/player/52687.html,2007-2007,1,1,0,10,10,10,6,166.66,0,0,0,1,1,"June 24, 1982, St Elizabeth, Jamaica",42y 35d,Right hand Bat,Right arm Offbreak,Bowler,
SL Perera (GHA),https://www.espncricinfo.com/ci/content/player/281891.html,2019-2019,2,2,0,10,7,5,23,43.47,0,0,0,0,0,"January 07, 1986, Colombo",38y 204d,Right hand Bat,Right arm Offbreak,Batting Allrounder,
N Peter (SA),https://www.espncricinfo.com/ci/content/player/946483.html,2024-2024,2,1,1,10,10*,-,7,142.85,0,0,0,1,0,12-Sep-02,21y 321d,Right hand Bat,Legbreak,Bowler,
JE Pitcher (BER),https://www.espncricinfo.com/ci/content/player/379301.html,2019-2023,9,3,3,10,5*,-,19,52.63,0,0,0,0,0,"February 17, 1987, Bermuda",37y 163d,Left hand Bat,Right arm Medium fast,Allrounder,
P Raho (PNG),https://www.espncricinfo.com/ci/content/player/694037.html,2016-2016,2,2,2,10,8*,-,6,166.66,0,0,0,0,1,"March 04, 1988, Port Morseby",36y 147d,Right hand Bat,Right arm Fast medium,Bowler,
SHA Rance (NZ),https://www.espncricinfo.com/ci/content/player/395057.html,2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0,"August 23, 1987, Wellington",36y 341d,Right hand Bat,Right arm Medium,Bowler,
GA Reynold (Blz),https://www.espncricinfo.com/ci/content/player/1181994.html,2019-2019,3,2,1,10,6*,10,10,100,0,0,0,0,1,15-Feb-95,29y 165d,Right hand Bat,Right arm Medium,,
ACL Richards (WI),https://www.espncricinfo.com/ci/content/player/52918.html,2007-2007,1,1,0,10,10,10,15,66.66,0,0,0,1,0,"November 14, 1983, Freetown, Antigua",40y 258d,Left hand Bat,Right arm Medium,Batter,
DL Richards (STHEL),https://www.espncricinfo.com/ci/content/player/1345195.html,2022-2022,5,4,1,10,4,3.33,13,76.92,0,0,0,1,0,21-Jan-81,43y 190d,Right hand Bat,Right arm Medium fast,,
CB Roposo (MOZ),https://www.espncricinfo.com/ci/content/player/1347290.html,2022-2023,12,2,2,10,8*,-,14,71.42,0,0,0,0,0,28-Sep-05,18y 305d,Right hand Bat,Right arm Medium fast,,
Salman Nazar (CAN),https://www.espncricinfo.com/ci/content/player/423510.html,2021-2022,8,1,0,10,10,10,9,111.11,0,0,0,1,0,"March 29, 1991, Multan, Punjab",33y 122d,Left hand Bat,Slow Left arm Orthodox,,
T Shamsi (SA),https://www.espncricinfo.com/ci/content/player/379145.html,2017-2024,70,14,9,10,4*,2,27,37.03,0,0,5,0,0,"February 18, 1990, Johannesburg, Gauteng",34y 162d,Right hand Bat,Left arm Wrist spin,Bowler,
S Srikanth (SGP),https://www.espncricinfo.com/ci/content/player/1337303.html,2022-2022,1,1,0,10,10,10,6,166.66,0,0,0,2,0,7-Jan-05,19y 204d,Right hand Bat,,,
BK Stroud (STHEL),https://www.espncricinfo.com/ci/content/player/1345197.html,2022-2022,7,2,2,10,10*,-,19,52.63,0,0,0,0,0,28-Feb-90,34y 152d,Right hand Bat,Right arm Medium fast,,
ZE Surkari (CAN),https://www.espncricinfo.com/ci/content/player/23803.html,2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0,"February 26, 1980, Toronto, Ontario",44y 154d,Right hand Bat,Right arm Medium,Middle order Batter,
SR Tendulkar (IND),https://www.espncricinfo.com/ci/content/player/35320.html,2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0,"April 24, 1973, Bombay (now Mumbai), Maharashtra",51y 96d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,5ft 5in
T Yotharat (THAI),https://www.espncricinfo.com/ci/content/player/1167811.html,2022-2022,3,2,2,10,6*,-,17,58.82,0,0,0,0,0,,,Right hand Bat,Right arm Medium,,
D Traore (Mali),https://www.espncricinfo.com/ci/content/player/1345190.html,2022-2023,7,5,2,10,6,3.33,27,37.03,0,0,2,1,0,22-Jan-02,22y 189d,Right hand Bat,Right arm Medium fast,,
Ubaid Martuza (BHR),https://www.espncricinfo.com/ci/content/player/633605.html,2024-2024,2,1,1,10,10*,-,9,111.11,0,0,0,0,0,1-Mar-95,29y 150d,Right hand Bat,,,
Uzair Amir (QAT),https://www.espncricinfo.com/ci/content/player/568164.html,2023-2023,2,2,0,10,10,5,14,71.42,0,0,1,0,0,"August 26, 1995, Karachi",28y 338d,Right hand Bat,,Wicketkeeper,
BA Viraliliu (VAN),https://www.espncricinfo.com/ci/content/player/1186241.html,2023-2023,2,1,0,10,10,10,10,100,0,0,0,1,0,9-Feb-02,22y 171d,Right hand Bat,,,
BAA Zammitt (GIBR),https://www.espncricinfo.com/ci/content/player/303936.html,2023-2023,3,3,0,10,9,3.33,25,40,0,0,1,0,0,24-Jan-90,34y 187d,,,,
Anam Mollik (ITA),https://www.espncricinfo.com/ci/content/player/1156453.html,2019-2019,2,1,0,9,9,9,10,90,0,0,0,1,0,"May 30, 1989, Khulna",35y 60d,Right hand Bat,Legbreak,,
S Banamali (SGP),https://www.espncricinfo.com/ci/content/player/1418078.html,2024-2024,5,2,1,9,8*,9,15,60,0,0,0,0,0,17-Aug-89,34y 347d,,,,
HH Banner (Blz),https://www.espncricinfo.com/ci/content/player/1159656.html,2019-2019,3,2,1,9,6,9,10,90,0,0,0,0,1,"August 22, 1993, Belize City, Belize",30y 342d,Left hand Bat,Left arm Medium,,
JJ Celestine (BER),https://www.espncricinfo.com/ci/content/player/216811.html,2008-2008,3,3,0,9,7,3,17,52.94,0,0,1,0,0,"October 13, 1973, Grenada",50y 290d,Right hand Bat,Right arm Slow medium,Batter,
FRJ Coleman (SCOT),https://www.espncricinfo.com/ci/content/player/364329.html,2013-2013,1,1,0,9,9,9,13,69.23,0,0,0,1,0,"December 15, 1991, Edinburgh, Midlothian",32y 227d,Right hand Bat,,Opening Batter,
J Clough (IOM),https://www.espncricinfo.com/ci/content/player/771651.html,2022-2022,1,1,0,9,9,9,13,69.23,0,0,0,0,0,11-Apr-04,20y 109d,Right hand Bat,,,
S Daniel (SL),https://www.espncricinfo.com/ci/content/player/1194744.html,2023-2023,1,1,0,9,9,9,6,150,0,0,0,2,0,"March 15, 2004, Colombo",20y 136d,Left hand Bat,Right arm Offbreak,Top order Batter,
A Dhingra (LUX),https://www.espncricinfo.com/ci/content/player/1275733.html,2021-2023,18,7,4,9,5*,3,11,81.81,0,0,1,1,0,29-Jun-98,26y 30d,Right hand Bat,Right arm Medium fast,,
B Dugic (SRB),https://www.espncricinfo.com/ci/content/player/1203876.html,2019-2024,9,3,1,9,8*,4.5,20,45,0,0,1,0,0,25-Dec-92,31y 217d,Right hand Bat,Right arm Fast,,
Ehsan Nawaz (HKG),https://www.espncricinfo.com/ci/content/player/718553.html,2014-2024,6,2,1,9,9*,9,6,150,0,0,1,2,0,"March 21, 1995, Attock, Pakistan",29y 130d,Right hand Bat,Right arm Fast medium,Bowler,
