Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
MS Tshabalala (SA),https://www.espncricinfo.com/ci/content/player/47663.html,2007-2007,4,1,1,2,2*,-,3,66.66,0,0,0,"November 19, 1984, Welkom, Free State",39y 253d,Right hand Bat,Right arm Offbreak,Bowler,
Umran Malik (IND),https://www.espncricinfo.com/ci/content/player/1246528.html,2022-2023,10,4,3,2,2*,2,11,18.18,0,0,1,"November 22, 1999, Gujjar Nagar, Jammu & Kashmir",24y 250d,Right hand Bat,Right arm Fast,Bowler,
Wasim Ali (OMA),https://www.espncricinfo.com/ci/content/player/1058938.html,2022-2022,1,1,1,2,2*,-,2,100,0,0,0,7-Dec-98,25y 235d,Left hand Bat,Slow Left arm Orthodox,,
AP Weerakkody (SL),https://www.espncricinfo.com/ci/content/player/50837.html,1994-1994,1,1,0,2,2,2,4,50,0,0,0,"October 01, 1970, Colombo",53y 302d,Right hand Bat,Right arm Fast medium,,
MD Wettimuny (SL),https://www.espncricinfo.com/ci/content/player/50879.html,1983-1983,1,1,0,2,2,2,11,18.18,0,0,0,"June 11, 1951, Colombo",,Right hand Bat,,,
DF Whatmore (AUS),https://www.espncricinfo.com/ci/content/player/8210.html,1980-1980,1,1,0,2,2,2,6,33.33,0,0,0,"March 16, 1954, Colombo, Ceylon",70y 135d,Right hand Bat,,,
AGD Wickremasinghe (SL),https://www.espncricinfo.com/ci/content/player/50851.html,1992-1993,4,1,0,2,2,2,10,20,0,0,0,"December 27, 1965, Colombo",58y 215d,Right hand Bat,Right arm Offbreak,,
LB Williams (SA),https://www.espncricinfo.com/ci/content/player/379887.html,2021-2023,4,1,0,2,2,2,3,66.66,0,0,0,"October 01, 1993, Vredenburg",30y 302d,Left hand Bat,Right arm Medium fast,Bowler,
Abdul Rehman (UAE),https://www.espncricinfo.com/ci/content/player/25580.html,2004-2004,1,1,0,1,1,1,13,7.69,0,0,0,"January 02, 1987, Ajman",37y 209d,Right hand Bat,,Middle order Batter,
Abu Hider (BAN),https://www.espncricinfo.com/ci/content/player/550137.html,2018-2018,2,1,0,1,1,1,11,9.09,0,0,0,14-Feb-96,28y 166d,Right hand Bat,Left arm Fast medium,Bowler,
Alawi Shukri (UAE),https://www.espncricinfo.com/ci/content/player/332921.html,2008-2008,1,1,0,1,1,1,3,33.33,0,0,0,"January 23, 1990, Dubai",34y 188d,Left hand Bat,Right arm Offbreak,Middle order Batter,
Aminul Islam jnr (BAN),https://www.espncricinfo.com/ci/content/player/56225.html,1999-1999,1,1,1,1,1*,-,1,100,0,0,0,"April 01, 1975, Rajshahi",49y 119d,Right hand Bat,Right arm Fast medium,,
PJ Bakker (NED),https://www.espncricinfo.com/ci/content/player/24860.html,1996-1996,5,1,1,1,1*,-,4,25,0,0,0,"August 19, 1957, Vlaardingen",66y 345d,Right hand Bat,Right arm Medium fast,,
KMC Bandara (SL),https://www.espncricinfo.com/ci/content/player/362079.html,2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,"May 22, 1987, Kegalle",37y 68d,Left hand Bat,Left arm Medium fast,,
GA Cope (ENG),https://www.espncricinfo.com/ci/content/player/10809.html,1977-1978,2,1,1,1,1*,-,1,100,0,0,0,"February 23, 1947, Burmantofts, Leeds, Yorkshire",77y 157d,Right hand Bat,Right arm Offbreak,,
MC Cowdrey (ENG),https://www.espncricinfo.com/ci/content/player/10846.html,1971-1971,1,1,0,1,1,1,5,20,0,0,0,"December 24, 1932, Ooty, Tamil Nadu, India",,Right hand Bat,Legbreak,Top order Batter,
JJ Davidson (SCOT),https://www.espncricinfo.com/ci/content/player/1195676.html,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,"March 15, 2002, Edinburgh",22y 136d,Right hand Bat,Right arm Medium,,
JA Duffy (NZ),https://www.espncricinfo.com/ci/content/player/547766.html,2022-2023,6,2,1,1,1*,1,6,16.66,0,0,1,"August 02, 1994, Lumsden, Southland",29y 362d,Right hand Bat,Right arm Fast medium,Bowler,
CI Dunusinghe (SL),https://www.espncricinfo.com/ci/content/player/48473.html,1995-1995,1,1,0,1,1,1,1,100,0,0,0,"October 19, 1970, Colombo",53y 284d,Right hand Bat,,,
MTG Elliott (AUS),https://www.espncricinfo.com/ci/content/player/5130.html,1997-1997,1,1,0,1,1,1,6,16.66,0,0,0,"September 28, 1971, Chelsea, Victoria",52y 305d,Left hand Bat,Left arm Medium,Opening Batter,1.88 m
M Faraz Akram (ZIM),https://www.espncricinfo.com/ci/content/player/1122851.html,2024-2024,2,1,0,1,1,1,6,16.66,0,0,0,"October 03, 1993, Jedda, Saudi Arabia",30y 300d,Left hand Bat,Right arm Medium,Allrounder,
AM Fernando (SL),https://www.espncricinfo.com/ci/content/player/786925.html,2017-2024,7,2,1,1,1*,1,6,16.66,0,0,1,"July 31, 1997, Katuneriya",26y 364d,Right hand Bat,Right arm Medium fast,Bowler,
RS Ghai (IND),https://www.espncricinfo.com/ci/content/player/28808.html,1984-1986,6,1,0,1,1,1,3,33.33,0,0,0,"June 12, 1960, Jullundur (now Jalandhar), Punjab",64y 47d,Right hand Bat,Right arm Medium fast,,
